"condor_memb","name","entity","tissue_type"
3,"TCF4","gene","ADRENAL_GLAND"
2,"TGDS","gene","ADRENAL_GLAND"
2,"TIMM23","gene","ADRENAL_GLAND"
2,"TMEM177","gene","ADRENAL_GLAND"
2,"TMTC3","gene","ADRENAL_GLAND"
2,"TOMM7","gene","ADRENAL_GLAND"
2,"TRAPPC5","gene","ADRENAL_GLAND"
2,"TREX1","gene","ADRENAL_GLAND"
2,"TSEN2","gene","ADRENAL_GLAND"
3,"TTC23","gene","ADRENAL_GLAND"
2,"TTI2","gene","ADRENAL_GLAND"
2,"TUBE1","gene","ADRENAL_GLAND"
2,"TXNL1","gene","ADRENAL_GLAND"
2,"UBR1","gene","ADRENAL_GLAND"
2,"USP31","gene","ADRENAL_GLAND"
3,"USP48","gene","ADRENAL_GLAND"
2,"UTP14A","gene","ADRENAL_GLAND"
2,"UTP25","gene","ADRENAL_GLAND"
2,"VAMP8","gene","ADRENAL_GLAND"
2,"WDR7","gene","ADRENAL_GLAND"
2,"ZC3H10","gene","ADRENAL_GLAND"
2,"ZC3H15","gene","ADRENAL_GLAND"
3,"ZEB1","gene","ADRENAL_GLAND"
2,"ZMAT2","gene","ADRENAL_GLAND"
2,"ZNF330","gene","ADRENAL_GLAND"
2,"ZNHIT6","gene","ADRENAL_GLAND"
2,"ZZEF1","gene","ADRENAL_GLAND"
1,"APEX1","TF","ADRENAL_GLAND"
2,"BCL11A","TF","ADRENAL_GLAND"
2,"BRCA1","TF","ADRENAL_GLAND"
3,"CEBPB","TF","ADRENAL_GLAND"
1,"E4F1","TF","ADRENAL_GLAND"
1,"EED","TF","ADRENAL_GLAND"
1,"HAX1","TF","ADRENAL_GLAND"
3,"HMGA1","TF","ADRENAL_GLAND"
1,"HOXA10","TF","ADRENAL_GLAND"
1,"HOXA9","TF","ADRENAL_GLAND"
1,"MED1","TF","ADRENAL_GLAND"
3,"MEF2C","TF","ADRENAL_GLAND"
2,"MLL","TF","ADRENAL_GLAND"
2,"MYB","TF","ADRENAL_GLAND"
2,"MYC","TF","ADRENAL_GLAND"
2,"MZF1","TF","ADRENAL_GLAND"
1,"PARP1","TF","ADRENAL_GLAND"
1,"PBRM1","TF","ADRENAL_GLAND"
1,"PHF8","TF","ADRENAL_GLAND"
3,"RUNX1","TF","ADRENAL_GLAND"
1,"SETBP1","TF","ADRENAL_GLAND"
1,"TAF5","TF","ADRENAL_GLAND"
2,"TCF4","TF","ADRENAL_GLAND"
2,"ZEB1","TF","ADRENAL_GLAND"
1,"AASDH","gene","BLADDER"
3,"ABCC10","gene","BLADDER"
1,"ABT1","gene","BLADDER"
1,"AFF1","gene","BLADDER"
3,"ANAPC7","gene","BLADDER"
3,"ANP32A","gene","BLADDER"
3,"APEX1","gene","BLADDER"
3,"ARL5B","gene","BLADDER"
3,"ASB7","gene","BLADDER"
3,"BAG5","gene","BLADDER"
1,"BCL11A","gene","BLADDER"
3,"BET1L","gene","BLADDER"
1,"BMP5","gene","BLADDER"
2,"BRCA1","gene","BLADDER"
3,"CCDC174","gene","BLADDER"
3,"CCDC184","gene","BLADDER"
1,"CDK8","gene","BLADDER"
