"","x"
"AK4_B",2
"AK5_B",3
"AK7_B",3
"AK8_B",3
"AK9_B",1
"AKAIN1_B",1
"AKAP10_B",3
"AKAP11_B",3
"AKAP12_B",1
"AKAP13_B",1
"AKAP14_B",3
"AKAP17A_B",3
"AKAP1_B",1
"AKAP3_B",1
"AKAP4_B",1
"AKAP5_B",3
"AKAP6_B",1
"AKAP7_B",1
"AKAP8L_B",3
"AKAP8_B",3
"AKAP9_B",1
"AKIP1_B",3
"AKIRIN1_B",3
"AKIRIN2_B",3
"AKNAD1_B",1
"AKNA_B",3
"AKR1A1_B",3
"AKR1B10_B",2
"AKR1B15_B",2
"AKR1B1_B",3
"AKR1C1_B",1
"AKR1C2_B",1
"AKR1C3_B",1
"AKR1C4_B",1
"AKR1D1_B",1
"AKR1E2_B",1
"AKR7A2_B",3
"AKR7A3_B",3
"AKR7L_B",3
"AKT1S1_B",3
"AKT1_B",3
"AKT2_B",3
"AKT3_B",1
"AKTIP_B",3
"ALAD_B",3
"ALAS1_B",3
"ALAS2_B",1
"ALB_B",1
"ALCAM_B",3
"ALDH16A1_B",3
"ALDH18A1_B",3
"ALDH1A1_B",1
"ALDH1A2_B",3
"ALDH1A3_B",3
"ALDH1B1_B",2
"ALDH1L1-AS1_B",2
"ALDH1L1-AS2_B",2
"ALDH1L1_B",2
"ALDH1L2_B",1
"ALDH2_B",3
"ALDH3A1_B",1
"ALDH3A2_B",3
"ALDH3B1_B",3
"ALDH3B2_B",1
"ALDH4A1_B",3
"ALDH5A1_B",3
"ALDH6A1_B",1
"ALDH7A1_B",1
"ALDH8A1_B",1
"ALDH9A1_B",3
"ALDOA_B",3
"ALDOB_B",2
"ALDOC_B",3
"ALG10B_B",1
"ALG10_B",1
"ALG11_B",2
"ALG12_B",3
"ALG13_B",1
"ALG14_B",2
"ALG1L2_B",3
"ALG1L9P_B",1
"ALG1_B",3
"ALG2_B",3
"ALG3_B",3
"ALG5_B",1
"ALG6_B",3
"ALG8_B",3
"ALG9_B",3
"ALKBH1_B",3
